               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.069866,           0.0074305,                   0,           0.0033333,                   1,            0.014166,            0.004244,            0.063948,           0.0075985,                   0,            0.030909,           0.0059089,           0.0059089
                  76,            0.066792,             0.01137,                   0,           0.0033333,                   1,            0.024162,           0.0058082,            0.048006,            0.009293,                   0,            0.029966,           0.0059662,           0.0059662
                  77,              0.0657,           0.0086791,                   0,           0.0033333,                   1,            0.024162,           0.0058082,            0.048006,            0.009293,                   0,            0.029023,           0.0060229,           0.0060229
                  78,            0.060528,            0.010745,                   0,           0.0033333,                   1,            0.022384,           0.0032854,            0.048137,           0.0093473,                   0,            0.028079,           0.0060791,           0.0060791
                  79,            0.066715,             0.01304,                   0,           0.0033333,                   1,            0.022384,           0.0032854,            0.048137,           0.0093473,                   0,            0.027135,           0.0061347,           0.0061347
                  80,            0.064523,            0.010242,                   0,           0.0033333,                   1,            0.043671,             0.01731,            0.047632,           0.0090762,                   0,             0.02619,           0.0061897,           0.0061897
                  81,            0.053346,           0.0081695,                   0,           0.0033333,                   1,            0.043671,             0.01731,            0.047632,           0.0090762,                   0,            0.025244,           0.0062442,           0.0062442
                  82,            0.060441,            0.014139,                   0,           0.0033333,                   1,            0.063967,            0.029098,            0.041764,            0.009458,                   0,            0.024298,           0.0062981,           0.0062981
                  83,            0.061982,            0.011523,                   0,           0.0033333,                   1,            0.063967,            0.029098,            0.041764,            0.009458,                   0,            0.023351,           0.0063514,           0.0063514
                  84,            0.062398,            0.010612,                   0,           0.0033333,                   1,            0.046969,            0.012717,            0.051524,           0.0084118,                   0,            0.022404,           0.0064042,           0.0064042
                  85,            0.068585,            0.013315,                   0,           0.0033333,                   1,            0.046969,            0.012717,            0.051524,           0.0084118,                   0,            0.021456,           0.0064564,           0.0064564
                  86,            0.068905,            0.011357,                   0,           0.0033333,                   1,            0.049981,            0.012428,            0.051735,           0.0085623,                   0,            0.020508,            0.006508,            0.006508
                  87,            0.055027,            0.009056,                   0,           0.0033333,                   1,            0.049981,            0.012428,            0.051735,           0.0085623,                   0,            0.019559,           0.0065591,           0.0065591
                  88,            0.066319,           0.0060963,                   0,           0.0033333,                   1,            0.074277,            0.027642,            0.036684,            0.009938,                   0,             0.01861,           0.0066096,           0.0066096
                  89,            0.058422,            0.011913,                   0,           0.0033333,                   1,            0.074277,            0.027642,            0.036684,            0.009938,                   0,            0.017659,           0.0066595,           0.0066595
                  90,             0.06907,           0.0057779,                   0,           0.0011111,             0.33333,            0.048226,           0.0063852,            0.052172,           0.0079148,                   0,            0.016709,           0.0067089,           0.0067089
                  91,            0.065703,             0.01132,                   0,           0.0011111,             0.33333,            0.048226,           0.0063852,            0.052172,           0.0079148,                   0,            0.015758,           0.0067577,           0.0067577
                  92,            0.057329,           0.0098346,                   0,           0.0033333,                   1,            0.084625,            0.022399,            0.048014,           0.0085247,                   0,            0.014806,           0.0068059,           0.0068059
                  93,            0.056409,           0.0099484,                   0,           0.0033333,                   1,            0.084625,            0.022399,            0.048014,           0.0085247,                   0,            0.013854,           0.0068536,           0.0068536
                  94,            0.054368,            0.011284,                   0,           0.0033333,                   1,             0.21033,            0.045852,            0.040929,            0.009266,                   0,            0.012901,           0.0069007,           0.0069007
                  95,            0.058968,            0.015754,                   0,           0.0033333,                   1,             0.21033,            0.045852,            0.040929,            0.009266,                   0,            0.011947,           0.0069472,           0.0069472
                  96,            0.053548,           0.0087726,                   0,           0.0033333,                   1,             0.11822,            0.035762,            0.043256,           0.0090177,                   0,            0.010993,           0.0069932,           0.0069932
                  97,            0.054776,           0.0080829,                   0,           0.0033333,                   1,             0.11822,            0.035762,            0.043256,           0.0090177,                   0,            0.010039,           0.0070386,           0.0070386
                  98,            0.057198,            0.011003,                   0,           0.0033333,                   1,             0.11822,            0.035762,            0.043256,           0.0090177,                   0,           0.0090834,           0.0070834,           0.0070834
                  99,            0.058572,            0.013744,                   0,           0.0033333,                   1,             0.37313,             0.11211,            0.031119,           0.0099896,                   0,           0.0081277,           0.0071277,           0.0071277
                 100,            0.053375,            0.011882,                   0,           0.0033333,                   1,             0.37313,             0.11211,            0.031119,           0.0099896,                   0,           0.0071714,           0.0071714,           0.0071714
                 101,            0.049293,            0.010496,                   0,           0.0033333,                   1,             0.37313,             0.11211,            0.031119,           0.0099896,                   0,           0.0071714,           0.0071714,           0.0071714
                 102,            0.052798,            0.010519,                   0,           0.0033333,                   1,             0.10851,            0.025628,            0.046657,           0.0081146,                   0,           0.0071431,           0.0071431,           0.0071431
                 103,            0.046053,            0.010954,                   0,           0.0033333,                   1,             0.10851,            0.025628,            0.046657,           0.0081146,                   0,           0.0071149,           0.0071149,           0.0071149
                 104,            0.056817,            0.010703,                   0,           0.0033333,                   1,             0.10851,            0.025628,            0.046657,           0.0081146,                   0,           0.0070866,           0.0070866,           0.0070866
                 105,            0.041656,            0.007615,                   0,           0.0033333,                   1,               0.597,             0.28565,            0.032083,           0.0095378,                   0,           0.0070583,           0.0070583,           0.0070583
                 106,            0.058266,            0.007631,                   0,           0.0033333,                   1,               0.597,             0.28565,            0.032083,           0.0095378,                   0,             0.00703,             0.00703,             0.00703
                 107,            0.045628,           0.0091726,                   0,           0.0033333,                   1,               0.597,             0.28565,            0.032083,           0.0095378,                   0,           0.0070017,           0.0070017,           0.0070017
                 108,            0.059323,           0.0085571,                   0,           0.0033333,                   1,             0.47393,             0.18906,            0.029514,           0.0098203,                   0,           0.0069734,           0.0069734,           0.0069734
                 109,            0.041771,           0.0072861,                   0,           0.0033333,                   1,             0.47393,             0.18906,            0.029514,           0.0098203,                   0,           0.0069451,           0.0069451,           0.0069451
                 110,              0.0529,           0.0090687,                   0,           0.0033333,                   1,             0.47393,             0.18906,            0.029514,           0.0098203,                   0,           0.0069169,           0.0069169,           0.0069169
                 111,            0.053386,           0.0087802,                   0,           0.0033333,                   1,            0.083028,            0.018032,            0.046234,           0.0084312,                   0,           0.0068886,           0.0068886,           0.0068886
                 112,            0.043464,           0.0091721,                   0,           0.0033333,                   1,            0.083028,            0.018032,            0.046234,           0.0084312,                   0,           0.0068603,           0.0068603,           0.0068603
                 113,            0.048243,           0.0093903,                   0,           0.0033333,                   1,            0.083028,            0.018032,            0.046234,           0.0084312,                   0,            0.006832,            0.006832,            0.006832
                 114,            0.047163,           0.0092672,                   0,           0.0033333,                   1,               0.665,               0.146,            0.036583,           0.0092448,                   0,           0.0068037,           0.0068037,           0.0068037
                 115,            0.045985,            0.012279,                   0,           0.0033333,                   1,               0.665,               0.146,            0.036583,           0.0092448,                   0,           0.0067754,           0.0067754,           0.0067754
                 116,            0.053142,            0.013379,                   0,           0.0033333,                   1,               0.665,               0.146,            0.036583,           0.0092448,                   0,           0.0067471,           0.0067471,           0.0067471
                 117,            0.047569,           0.0096902,                   0,           0.0033333,                   1,             0.64133,             0.30787,            0.042022,           0.0077099,                   0,           0.0067189,           0.0067189,           0.0067189
                 118,            0.051895,            0.012534,                   0,           0.0033333,                   1,             0.64133,             0.30787,            0.042022,           0.0077099,                   0,           0.0066906,           0.0066906,           0.0066906
                 119,            0.046949,           0.0084451,                   0,           0.0033333,                   1,             0.64133,             0.30787,            0.042022,           0.0077099,                   0,           0.0066623,           0.0066623,           0.0066623
                 120,             0.03864,            0.006284,                   0,           0.0033333,                   1,               0.597,             0.11228,            0.041384,           0.0082016,                   0,            0.006634,            0.006634,            0.006634
                 121,            0.048879,           0.0086064,                   0,           0.0033333,                   1,               0.597,             0.11228,            0.041384,           0.0082016,                   0,           0.0066057,           0.0066057,           0.0066057
                 122,            0.058198,           0.0088126,                   0,           0.0033333,                   1,               0.597,             0.11228,            0.041384,           0.0082016,                   0,           0.0065774,           0.0065774,           0.0065774
                 123,            0.056349,           0.0086095,                   0,           0.0033333,                   1,              0.4975,             0.12527,            0.035958,           0.0089074,                   0,           0.0065491,           0.0065491,           0.0065491
                 124,            0.050047,            0.012883,                   0,           0.0033333,                   1,              0.4975,             0.12527,            0.035958,           0.0089074,                   0,           0.0065209,           0.0065209,           0.0065209
                 125,            0.054938,            0.010492,                   0,           0.0033333,                   1,              0.4975,             0.12527,            0.035958,           0.0089074,                   0,           0.0064926,           0.0064926,           0.0064926
                 126,            0.050014,            0.013826,                   0,           0.0033333,                   1,             0.42643,             0.14236,            0.033217,           0.0090105,                   0,           0.0064643,           0.0064643,           0.0064643
                 127,            0.055593,           0.0087583,                   0,           0.0033333,                   1,             0.42643,             0.14236,            0.033217,           0.0090105,                   0,            0.006436,            0.006436,            0.006436
                 128,            0.047462,           0.0063498,                   0,           0.0033333,                   1,             0.42643,             0.14236,            0.033217,           0.0090105,                   0,           0.0064077,           0.0064077,           0.0064077
                 129,             0.04884,            0.012745,                   0,           0.0033333,                   1,              0.3655,             0.17258,            0.035153,           0.0086041,                   0,           0.0063794,           0.0063794,           0.0063794
                 130,            0.045123,             0.01376,                   0,           0.0033333,                   1,              0.3655,             0.17258,            0.035153,           0.0086041,                   0,           0.0063511,           0.0063511,           0.0063511
                 131,            0.047184,           0.0084849,                   0,           0.0033333,                   1,              0.3655,             0.17258,            0.035153,           0.0086041,                   0,           0.0063229,           0.0063229,           0.0063229
                 132,            0.052039,            0.011305,                   0,           0.0033333,                   1,              0.3875,             0.20707,            0.030207,           0.0090851,                   0,           0.0062946,           0.0062946,           0.0062946
                 133,            0.047106,           0.0087948,                   0,           0.0033333,                   1,              0.3875,             0.20707,            0.030207,           0.0090851,                   0,           0.0062663,           0.0062663,           0.0062663
                 134,            0.042098,            0.010415,                   0,           0.0033333,                   1,              0.3875,             0.20707,            0.030207,           0.0090851,                   0,            0.006238,            0.006238,            0.006238
                 135,            0.041304,            0.010364,                   0,           0.0033333,                   1,             0.29125,             0.13563,            0.039172,           0.0081643,                   0,           0.0062097,           0.0062097,           0.0062097
                 136,             0.05134,           0.0060075,                   0,           0.0033333,                   1,             0.29125,             0.13563,            0.039172,           0.0081643,                   0,           0.0061814,           0.0061814,           0.0061814
                 137,            0.049412,             0.01511,                   0,           0.0033333,                   1,             0.29125,             0.13563,            0.039172,           0.0081643,                   0,           0.0061531,           0.0061531,           0.0061531
                 138,            0.057182,            0.010436,                   0,           0.0033333,                   1,             0.29174,              0.1746,            0.036622,            0.008148,                   0,           0.0061249,           0.0061249,           0.0061249
                 139,            0.041592,            0.011802,                   0,           0.0033333,                   1,             0.29174,              0.1746,            0.036622,            0.008148,                   0,           0.0060966,           0.0060966,           0.0060966
                 140,             0.05005,            0.012358,                   0,           0.0033333,                   1,             0.29174,              0.1746,            0.036622,            0.008148,                   0,           0.0060683,           0.0060683,           0.0060683
                 141,            0.045379,            0.013229,                   0,           0.0033333,                   1,             0.43921,             0.30983,             0.03051,           0.0087758,                   0,             0.00604,             0.00604,             0.00604
                 142,            0.045247,            0.012552,                   0,           0.0033333,                   1,             0.43921,             0.30983,             0.03051,           0.0087758,                   0,           0.0060117,           0.0060117,           0.0060117
                 143,            0.049619,            0.012351,                   0,           0.0033333,                   1,             0.43921,             0.30983,             0.03051,           0.0087758,                   0,           0.0059834,           0.0059834,           0.0059834
                 144,            0.045484,           0.0098494,                   0,           0.0033333,                   1,             0.42025,             0.16326,            0.028064,           0.0091876,                   0,           0.0059551,           0.0059551,           0.0059551
                 145,            0.041113,            0.010633,                   0,           0.0033333,                   1,             0.42025,             0.16326,            0.028064,           0.0091876,                   0,           0.0059269,           0.0059269,           0.0059269
                 146,            0.046685,            0.010024,                   0,           0.0033333,                   1,             0.42025,             0.16326,            0.028064,           0.0091876,                   0,           0.0058986,           0.0058986,           0.0058986
                 147,            0.044962,            0.011298,                   0,           0.0033333,                   1,             0.42022,              0.1882,             0.03573,           0.0082818,                   0,           0.0058703,           0.0058703,           0.0058703
                 148,            0.049824,           0.0088357,                   0,           0.0033333,                   1,             0.42022,              0.1882,             0.03573,           0.0082818,                   0,            0.005842,            0.005842,            0.005842
                 149,            0.048905,           0.0069608,                   0,           0.0033333,                   1,             0.42022,              0.1882,             0.03573,           0.0082818,                   0,           0.0058137,           0.0058137,           0.0058137
                 150,            0.050531,            0.010232,                   0,           0.0033333,                   1,             0.42022,             0.19954,            0.027342,           0.0091186,                   0,           0.0057854,           0.0057854,           0.0057854
                 151,            0.047783,            0.010601,                   0,           0.0033333,                   1,             0.42022,             0.19954,            0.027342,           0.0091186,                   0,           0.0057571,           0.0057571,           0.0057571
                 152,            0.042649,            0.015714,                   0,           0.0033333,                   1,             0.42022,             0.19954,            0.027342,           0.0091186,                   0,           0.0057289,           0.0057289,           0.0057289
                 153,            0.041679,           0.0099867,                   0,           0.0033333,                   1,             0.43291,             0.33474,            0.025318,           0.0092676,                   0,           0.0057006,           0.0057006,           0.0057006
                 154,            0.045173,            0.010041,                   0,           0.0033333,                   1,             0.43291,             0.33474,            0.025318,           0.0092676,                   0,           0.0056723,           0.0056723,           0.0056723
                 155,             0.03902,           0.0080364,                   0,           0.0033333,                   1,             0.43291,             0.33474,            0.025318,           0.0092676,                   0,            0.005644,            0.005644,            0.005644
                 156,            0.038524,           0.0091873,                   0,           0.0033333,                   1,             0.47937,             0.30535,            0.027677,           0.0089577,                   0,           0.0056157,           0.0056157,           0.0056157
                 157,            0.040392,           0.0096968,                   0,           0.0033333,                   1,             0.47937,             0.30535,            0.027677,           0.0089577,                   0,           0.0055874,           0.0055874,           0.0055874
                 158,            0.035784,            0.012617,                   0,           0.0033333,                   1,             0.47937,             0.30535,            0.027677,           0.0089577,                   0,           0.0055591,           0.0055591,           0.0055591
                 159,            0.043004,           0.0070134,                   0,           0.0033333,                   1,             0.48429,             0.25723,            0.024743,           0.0092613,                   0,           0.0055309,           0.0055309,           0.0055309
                 160,            0.038715,            0.012393,                   0,           0.0033333,                   1,             0.48429,             0.25723,            0.024743,           0.0092613,                   0,           0.0055026,           0.0055026,           0.0055026
                 161,            0.039323,           0.0089363,                   0,           0.0033333,                   1,             0.48429,             0.25723,            0.024743,           0.0092613,                   0,           0.0054743,           0.0054743,           0.0054743
                 162,             0.03994,             0.00942,                   0,           0.0033333,                   1,             0.30211,             0.16784,            0.023314,           0.0094742,                   0,            0.005446,            0.005446,            0.005446
                 163,            0.040419,           0.0074515,                   0,           0.0033333,                   1,             0.30211,             0.16784,            0.023314,           0.0094742,                   0,           0.0054177,           0.0054177,           0.0054177
                 164,            0.041033,             0.01107,                   0,           0.0033333,                   1,             0.30211,             0.16784,            0.023314,           0.0094742,                   0,           0.0053894,           0.0053894,           0.0053894
                 165,             0.04448,           0.0099387,                   0,           0.0033333,                   1,             0.31129,             0.21788,             0.02397,           0.0093898,                   0,           0.0053611,           0.0053611,           0.0053611
                 166,            0.038906,            0.009012,                   0,           0.0033333,                   1,             0.31129,             0.21788,             0.02397,           0.0093898,                   0,           0.0053329,           0.0053329,           0.0053329
